postal_code,locality,median_cadastral_income,median_area,median_rooms,median_number_floors,median_bathrooms,median_toilets,median_facades_number,median_primary_energy_consumption
1000,brussels,1281.0,105.0,2.0,6.0,1.0,2.0,2.0,167.0
1020,laken,1750.0,100.0,2.0,3.0,1.0,2.0,2.0,242.0
1030,None,845.0,111.0,2.0,4.0,1.0,1.5,2.0,202.0
1040,None,1459.0,87.0,2.0,3.0,1.0,1.0,2.0,304.0
1050,None,1799.0,91.5,2.0,5.0,1.5,2.0,2.0,169.0
1060,None,884.0,100.0,2.0,4.0,1.0,1.0,2.0,215.5
1070,None,1206.0,72.0,2.0,4.5,1.0,1.0,2.0,243.0
1080,None,1187.0,85.0,2.0,8.0,1.0,1.0,2.0,186.0
1081,None,650.0,97.0,2.0,6.0,1.0,1.0,2.0,320.0
1082,None,1494.0,87.0,2.0,3.0,1.0,1.0,4.0,228.5
1083,None,1159.5,87.5,2.0,3.5,1.0,1.0,2.0,221.5
1090,None,1658.0,92.0,2.0,3.0,1.0,1.0,2.0,154.5
1120,None,1137.0,111.0,3.0,3.0,1.0,2.0,2.0,198.0
1130,None,1563.0,200.5,4.0,2.0,1.0,2.0,2.0,230.0
1140,None,1531.0,91.0,2.0,5.0,1.0,1.0,2.0,45.0
1150,None,2139.0,170.0,3.0,3.5,1.0,2.0,2.0,239.0
1160,None,1782.0,110.0,2.0,7.0,1.0,2.0,2.0,45.0
1170,None,919.0,96.5,2.0,4.0,1.0,1.0,2.0,208.0
1180,None,1249.0,106.0,2.0,3.0,2.0,2.0,4.0,149.5
1190,None,1164.0,115.0,2.0,4.5,2.0,2.0,2.0,139.0
1200,None,1632.0,130.0,2.0,6.0,2.0,2.0,3.0,45.0
1210,None,800.0,55.0,1.5,3.5,1.0,1.0,3.0,256.0
1300,wavre,1233.0,99.0,2.0,3.0,1.0,2.0,3.0,85.0
1301,None,2667.0,211.5,4.0,2.0,2.0,2.5,3.5,331.0
1315,None,800.0,119.0,3.5,3.0,1.5,2.0,3.0,67.0
